time_s,H,V
0.0,512.6,509.6
0.02,512.48,508.28
0.04,511.18,507.02
0.06,511.95,506.42
0.08,511.96,505.54
0.1,511.97,505.63
0.12000000000000001,511.37,506.1
0.14,511.9,505.88
0.16,511.32,505.31
0.18,512.05,504.04
0.19999999999999998,512.05,504.04
0.21999999999999997,511.64,504.04
0.23999999999999996,511.12,502.03
0.25999999999999995,511.43,501.38
0.27999999999999997,511.43,501.38
0.3,511.43,501.38
0.32,513.04,503.44
0.34,512.06,505.88
0.36000000000000004,512.06,505.88
0.38000000000000006,512.06,505.88
0.4000000000000001,513.0,503.01
0.4200000000000001,513.2,501.8
0.4400000000000001,513.2,501.8
0.46000000000000013,513.37,501.43
0.48000000000000015,513.89,501.35
0.5000000000000001,513.72,499.08
0.5200000000000001,513.77,498.86
0.5400000000000001,513.42,498.69
0.5600000000000002,513.42,498.69
0.5800000000000002,512.23,499.8
0.6000000000000002,511.78,501.24
0.6200000000000002,512.03,502.19
0.6400000000000002,512.03,502.19
0.6600000000000003,511.82,502.35
0.6800000000000003,511.25,503.15
0.7000000000000003,511.25,503.15
0.7200000000000003,512.6,502.92
0.7400000000000003,512.48,503.53
0.7600000000000003,513.78,503.43
0.7800000000000004,514.23,502.74
0.8000000000000004,515.78,501.59
0.8200000000000004,515.78,501.59
0.8400000000000004,515.06,501.18
0.8600000000000004,516.05,501.34
0.8800000000000004,515.24,499.28
0.9000000000000005,515.24,499.28
0.9200000000000005,515.24,499.28
0.9400000000000005,513.99,498.42
0.9600000000000005,519.04,515.43
0.9800000000000005,519.04,515.43
1.0000000000000004,515.43,551.54
1.0200000000000005,532.95,592.84
1.0400000000000005,586.16,631.07
1.0600000000000005,653.73,662.06
1.0800000000000005,727.38,682.44
1.1000000000000005,727.38,682.44
1.1200000000000006,833.24,704.0
1.1400000000000006,871.0,700.8
1.1600000000000006,901.0,697.84
1.1800000000000006,901.0,697.84
1.2000000000000006,895.6,670.98
1.2200000000000006,827.28,639.58
1.2400000000000007,744.82,594.47
1.2600000000000007,744.82,594.47
1.2800000000000007,576.05,471.42
1.3000000000000007,513.24,413.74
1.3200000000000007,469.79,374.59
1.3400000000000007,469.79,374.59
1.3600000000000008,423.11,340.34
1.3800000000000008,423.11,340.34
1.4000000000000008,412.08,337.07
1.4200000000000008,406.87,340.46
1.4400000000000008,405.29,348.16
1.4600000000000009,406.64,358.73
1.4800000000000009,408.51,371.39
1.5000000000000009,412.41,384.31
1.520000000000001,412.41,384.31
1.540000000000001,417.14,409.52
1.560000000000001,420.11,420.61
1.580000000000001,423.49,431.49
1.600000000000001,423.49,431.49
1.620000000000001,429.47,447.67
1.640000000000001,432.38,455.74
1.660000000000001,435.9,462.59
1.680000000000001,435.9,462.59
1.700000000000001,435.9,462.59
1.720000000000001,441.58,475.06
1.740000000000001,444.26,479.25
1.7600000000000011,447.61,482.4
1.7800000000000011,447.61,482.4
1.8000000000000012,456.39,490.49
1.8200000000000012,461.11,494.0
1.8400000000000012,463.69,496.8
1.8600000000000012,463.69,496.8
1.8800000000000012,468.36,500.43
1.9000000000000012,470.29,500.94
1.9200000000000013,472.23,501.36
1.9400000000000013,472.23,501.36
1.9600000000000013,475.31,500.55
1.9800000000000013,477.25,499.84
2.0000000000000013,477.25,499.84
2.0200000000000014,479.2,498.67
2.0400000000000014,480.96,499.74
2.0600000000000014,482.17,499.99
2.0800000000000014,483.33,500.59
2.1000000000000014,484.47,500.27
2.1200000000000014,486.57,500.62
2.1400000000000015,488.06,500.49
2.1600000000000015,489.45,500.0
2.1800000000000015,490.56,500.4
2.2000000000000015,490.56,500.4
2.2200000000000015,492.96,501.53
2.2400000000000015,494.17,501.43
2.2600000000000016,495.13,500.94
2.2800000000000016,495.13,500.94
2.3000000000000016,496.52,501.36
2.3200000000000016,496.62,501.49
2.3400000000000016,497.9,500.59
2.3600000000000017,497.9,500.59
2.3800000000000017,498.72,500.67
2.4000000000000017,498.97,500.94
2.4200000000000017,499.78,501.15
2.4400000000000017,499.78,501.15
2.4600000000000017,499.18,501.98
2.4800000000000018,499.94,502.58
2.5000000000000018,499.75,502.87
2.520000000000002,499.75,502.87
2.540000000000002,500.84,504.27
2.560000000000002,501.47,505.02
2.580000000000002,502.38,504.42
2.600000000000002,502.9,503.33
2.620000000000002,502.9,503.33
2.640000000000002,504.06,503.37
2.660000000000002,503.05,502.9
2.680000000000002,503.05,502.9
2.700000000000002,503.05,502.9
2.720000000000002,503.99,503.29
2.740000000000002,505.19,502.84
2.760000000000002,506.15,503.07
2.780000000000002,506.15,503.07
2.800000000000002,505.72,502.85
2.820000000000002,505.98,503.59
2.840000000000002,507.19,503.07
2.860000000000002,507.35,502.86
2.880000000000002,507.35,502.86
2.900000000000002,507.3,502.99
2.920000000000002,506.64,502.99
2.940000000000002,507.51,503.39
2.960000000000002,507.51,503.39
2.980000000000002,507.61,504.31
