time_s,H,V
0.0,512.0,510.6
0.02,512.0,509.88
0.04,512.4,509.3
0.06,513.12,507.64
0.08,513.3,505.51
0.1,513.64,503.81
0.12000000000000001,513.91,503.05
0.14,512.33,502.44
0.16,510.86,501.95
0.18,510.86,501.95
0.19999999999999998,510.11,500.45
0.21999999999999997,511.49,500.76
0.23999999999999996,510.99,500.41
0.25999999999999995,510.99,500.41
0.27999999999999997,512.07,502.54
0.3,513.46,503.63
0.32,513.46,503.63
0.34,513.97,504.31
0.36000000000000004,513.57,504.44
0.38000000000000006,513.66,504.56
0.4000000000000001,514.53,504.24
0.4200000000000001,514.42,504.2
0.4400000000000001,514.42,504.2
0.46000000000000013,514.51,503.57
0.48000000000000015,513.61,502.85
0.5000000000000001,514.49,502.88
0.5200000000000001,514.39,502.11
0.5400000000000001,514.39,502.11
0.5600000000000002,514.31,501.88
0.5800000000000002,513.36,501.85
0.6000000000000002,513.69,501.48
0.6200000000000002,513.69,501.48
0.6400000000000002,513.35,501.18
0.6600000000000003,513.62,503.52
0.6800000000000003,513.3,503.61
0.7000000000000003,513.3,503.61
0.7200000000000003,513.44,504.49
0.7400000000000003,513.55,504.39
0.7600000000000003,512.64,504.71
0.7800000000000004,511.11,504.97
0.8000000000000004,511.11,504.97
0.8200000000000004,511.11,505.74
0.8400000000000004,510.49,504.19
0.8600000000000004,510.19,503.15
0.8800000000000004,510.19,503.15
0.9000000000000005,511.35,503.52
0.9200000000000005,511.07,502.46
0.9400000000000005,512.05,501.96
0.9600000000000005,512.44,500.37
0.9800000000000005,512.44,500.37
1.0000000000000004,514.15,500.5
1.0200000000000005,514.12,500.2
1.0400000000000005,514.7,500.96
1.0600000000000005,513.96,500.77
1.0800000000000005,513.96,500.77
1.1000000000000005,512.73,500.73
1.1200000000000006,512.99,501.58
1.1400000000000006,512.99,500.87
1.1600000000000006,512.99,500.87
1.1800000000000006,511.51,501.84
1.2000000000000006,511.21,501.67
1.2200000000000006,510.37,500.73
1.2400000000000007,510.37,500.73
1.2600000000000007,511.68,500.15
1.2800000000000007,512.54,501.32
1.3000000000000007,512.23,500.66
1.3200000000000007,512.23,500.66
1.3400000000000007,512.23,500.66
1.3600000000000008,511.75,499.66
1.3800000000000008,512.0,500.13
1.4000000000000008,512.0,500.5
1.4200000000000008,512.0,500.5
1.4400000000000008,512.72,500.88
1.4600000000000009,513.38,501.91
1.4800000000000009,511.5,502.52
1.5000000000000009,511.5,502.52
1.520000000000001,510.12,502.06
1.540000000000001,511.1,501.84
1.560000000000001,511.08,502.08
1.580000000000001,511.08,502.08
1.600000000000001,509.09,502.69
1.620000000000001,509.47,501.95
1.640000000000001,508.58,501.76
1.660000000000001,508.58,501.76
1.680000000000001,508.58,501.76
1.700000000000001,507.61,501.21
1.720000000000001,507.89,501.37
1.740000000000001,508.31,502.49
1.7600000000000011,508.31,502.49
1.7800000000000011,509.72,502.24
1.8000000000000012,509.57,501.39
1.8200000000000012,509.66,501.31
1.8400000000000012,509.66,501.31
1.8600000000000012,509.66,501.31
1.8800000000000012,510.53,500.65
1.9000000000000012,512.06,498.96
1.9200000000000013,511.85,497.97
1.9400000000000013,511.85,497.97
1.9600000000000013,511.28,498.18
1.9800000000000013,509.1,496.99
2.0000000000000013,508.68,498.19
2.0200000000000014,508.68,498.19
2.0400000000000014,509.14,497.96
2.0600000000000014,509.11,497.16
2.0800000000000014,510.29,498.93
2.1000000000000014,510.29,498.93
2.1200000000000014,510.75,500.96
2.1400000000000015,510.4,501.17
2.1600000000000015,510.92,501.33
2.1800000000000015,511.73,501.87
2.2000000000000015,511.73,501.87
2.2200000000000015,510.47,500.71
2.2400000000000015,511.18,501.77
2.2600000000000016,511.18,501.77
2.2800000000000016,511.18,501.77
2.3000000000000016,510.67,501.15
2.3200000000000016,512.73,500.92
2.3400000000000016,512.73,500.92
2.3600000000000017,512.73,500.92
2.3800000000000017,512.73,500.92
2.4000000000000017,513.47,499.43
2.4200000000000017,512.98,499.75
2.4400000000000017,513.18,501.2
2.4600000000000017,513.18,501.2
2.4800000000000018,512.84,501.57
2.5000000000000018,513.47,501.45
2.520000000000002,512.18,500.96
2.540000000000002,512.18,500.96
2.560000000000002,511.99,499.98
2.580000000000002,512.59,499.18
2.600000000000002,512.08,497.74
2.620000000000002,512.08,497.74
2.640000000000002,511.26,497.4
2.660000000000002,510.13,498.85
2.680000000000002,511.5,499.28
2.700000000000002,511.5,499.28
2.720000000000002,512.2,500.23
2.740000000000002,511.96,500.98
2.760000000000002,512.57,502.18
2.780000000000002,513.45,502.75
2.800000000000002,513.45,502.75
2.820000000000002,512.89,502.88
2.840000000000002,513.71,501.9
2.860000000000002,513.57,501.32
2.880000000000002,513.57,501.32
2.900000000000002,511.49,499.49
2.920000000000002,511.39,498.39
2.940000000000002,510.31,497.31
2.960000000000002,510.31,497.31
2.980000000000002,509.16,495.24
