time_s,H,EOG_V
0.0,496.84,500.48
0.020000000000000018,510.42,512.91
0.040000000000000036,503.13,507.52
0.06000000000000005,503.13,507.52
0.08000000000000007,503.13,507.52
0.10000000000000009,503.13,507.52
0.1200000000000001,496.91,502.22
0.14000000000000012,496.91,502.22
0.16000000000000014,505.73,509.58
0.18000000000000016,510.05,508.83
0.20000000000000018,510.05,508.83
0.2200000000000002,510.05,508.83
0.2400000000000002,510.05,508.83
0.26000000000000023,509.44,507.26
0.28000000000000025,509.44,507.26
0.30000000000000027,499.55,496.81
0.3200000000000003,508.64,506.05
0.3400000000000003,502.15,499.7
0.3600000000000003,511.12,507.76
0.38000000000000034,511.12,507.76
0.40000000000000036,511.12,507.76
0.4200000000000004,511.12,507.76
0.4400000000000004,513.1,510.21
0.4600000000000004,513.1,510.21
0.4800000000000004,511.23,506.83
0.5000000000000004,509.79,506.87
0.5200000000000005,500.23,497.49
0.5400000000000005,500.23,497.49
0.5600000000000005,500.23,497.49
0.5800000000000005,500.23,497.49
0.6000000000000005,508.38,505.39
0.6200000000000006,508.38,505.39
0.6400000000000006,509.66,506.38
0.6600000000000006,509.66,506.38
0.6800000000000006,511.13,509.31
0.7000000000000006,511.13,509.31
0.7200000000000006,511.13,509.31
0.7400000000000007,511.13,509.31
0.7600000000000007,502.5,498.64
0.7800000000000007,503.8,500.12
0.8000000000000007,502.14,498.76
0.8200000000000007,502.14,498.76
0.8400000000000007,509.51,505.61
0.8600000000000008,509.51,505.61
0.8800000000000008,509.51,505.61
0.9000000000000008,514.81,509.49
0.9200000000000008,514.81,509.49
0.9400000000000008,509.05,504.39
0.9600000000000009,512.5,508.58
0.9800000000000009,502.6,500.66
1.0000000000000009,502.48,499.13
1.020000000000001,502.48,499.13
1.040000000000001,502.48,499.13
1.060000000000001,502.48,499.13
1.080000000000001,509.39,506.1
1.100000000000001,509.39,506.1
1.120000000000001,509.51,507.08
1.140000000000001,510.29,506.19
1.160000000000001,506.63,503.96
1.180000000000001,498.11,496.56
1.200000000000001,498.11,496.56
1.220000000000001,498.11,496.56
1.240000000000001,498.11,496.56
1.2600000000000011,507.29,505.25
1.2800000000000011,507.29,505.25
1.3000000000000012,507.29,505.25
1.3200000000000012,508.26,506.15
1.3400000000000012,510.21,507.72
1.3600000000000012,499.17,497.37
1.3800000000000012,499.17,497.37
1.4000000000000012,499.17,497.37
1.4200000000000013,504.53,501.5
1.4400000000000013,504.53,501.5
1.4600000000000013,511.23,508.2
1.4800000000000013,511.3,505.22
1.5000000000000013,511.3,505.22
1.5200000000000014,514.64,509.38
1.5400000000000014,514.64,509.38
1.5600000000000014,514.64,509.38
1.5800000000000014,506.11,501.7
1.6000000000000014,506.11,501.7
1.6200000000000014,502.69,498.76
1.6400000000000015,500.87,499.62
1.6600000000000015,500.87,499.62
1.6800000000000015,503.5,502.1
1.7000000000000015,503.5,502.1
1.7200000000000015,503.5,502.1
1.7400000000000015,503.5,502.1
1.7600000000000016,510.6,508.28
1.7800000000000016,508.88,507.42
1.8000000000000016,511.67,507.12
1.8200000000000016,504.53,501.5
1.8400000000000016,500.63,496.2
1.8600000000000017,500.63,496.2
1.8800000000000017,500.63,496.2
1.9000000000000017,500.63,496.2
1.9200000000000017,509.9,504.76
1.9400000000000017,509.9,504.76
1.9600000000000017,511.1,507.54
1.9800000000000018,511.1,507.54
2.0000000000000018,509.48,508.04
2.0200000000000014,509.48,508.04
2.040000000000001,509.48,508.04
2.0600000000000005,509.48,508.04
2.08,499.38,498.63
2.0999999999999996,499.38,498.63
2.119999999999999,511.32,510.92
2.139999999999999,498.81,501.87
2.1599999999999984,508.05,510.1
2.179999999999998,508.05,510.1
2.1999999999999975,508.05,510.1
2.219999999999997,508.05,510.1
2.2399999999999967,510.64,512.48
2.2599999999999962,510.64,512.48
2.279999999999996,501.31,502.58
2.2999999999999954,498.67,498.1
2.319999999999995,506.53,504.68
2.3399999999999945,506.53,504.68
2.359999999999994,506.53,504.68
2.3799999999999937,506.53,504.68
2.3999999999999932,506.53,504.68
2.419999999999993,511.23,510.14
2.4399999999999924,511.23,510.14
2.459999999999992,499.59,498.33
2.4799999999999915,500.3,498.74
2.499999999999991,502.84,499.19
2.5199999999999907,502.84,499.19
2.5399999999999903,502.84,499.19
2.55999999999999,502.84,499.19
2.5799999999999894,510.67,505.95
2.599999999999989,510.67,505.95
2.6199999999999886,510.74,507.56
2.639999999999988,513.02,509.9
2.6599999999999877,506.41,504.72
2.6799999999999873,506.41,504.72
2.699999999999987,506.41,504.72
2.7199999999999864,506.41,504.72
2.739999999999986,500.93,498.77
2.7599999999999856,509.75,506.62
2.779999999999985,512.6,509.09
2.7999999999999847,509.75,507.78
2.8199999999999843,509.75,507.78
2.839999999999984,509.0,508.83
2.8599999999999834,509.0,508.83
2.879999999999983,509.0,508.83
2.8999999999999826,509.0,508.83
2.919999999999982,498.6,498.86
2.9399999999999817,505.88,507.09
2.9599999999999813,501.32,502.06
2.979999999999981,501.32,502.06
2.9999999999999805,509.86,509.05
3.01999999999998,512.89,510.24
3.0399999999999796,512.89,510.24
3.059999999999979,512.89,510.24
3.0799999999999788,503.71,500.39
3.0999999999999783,503.71,500.39
3.119999999999978,511.61,506.05
3.1399999999999775,500.23,495.95
3.159999999999977,500.23,495.95
3.1799999999999766,506.19,504.16
3.199999999999976,506.19,504.16
3.2199999999999758,506.19,504.16
3.2399999999999753,510.95,510.73
3.259999999999975,510.95,510.73
3.2799999999999745,498.13,501.79
3.299999999999974,509.6,512.42
3.3199999999999736,499.48,503.54
3.339999999999973,499.48,503.54
3.359999999999973,499.48,503.54
3.3799999999999724,499.48,503.54
3.399999999999972,498.79,502.03
3.4199999999999715,498.79,502.03
3.439999999999971,506.83,508.22
3.4599999999999707,511.96,510.48
3.4799999999999702,511.96,510.48
3.49999999999997,509.16,507.18
3.5199999999999694,509.16,507.18
3.539999999999969,509.16,507.18
3.5599999999999685,509.16,507.18
3.579999999999968,501.73,499.95
3.5999999999999677,510.79,507.56
3.6199999999999672,504.84,500.68
3.639999999999967,504.84,500.68
3.6599999999999664,511.67,507.94
3.679999999999966,511.67,507.94
3.6999999999999655,511.67,507.94
3.719999999999965,511.67,507.94
3.7399999999999647,511.54,509.15
3.7599999999999643,500.23,499.32
3.779999999999964,507.25,508.42
3.7999999999999634,499.4,500.14
3.819999999999963,499.4,500.14
3.8399999999999626,499.4,500.14
3.859999999999962,499.4,500.14
3.8799999999999617,508.12,507.71
3.8999999999999613,508.12,507.71
3.919999999999961,510.49,511.17
3.9399999999999604,508.35,508.98
3.95999999999996,508.35,508.98
3.9799999999999596,497.08,498.18
3.999999999999959,497.08,498.18
4.019999999999959,504.67,505.35
4.039999999999958,504.67,505.35
4.059999999999958,504.67,505.35
4.079999999999957,510.33,510.08
4.099999999999957,510.33,510.08
4.119999999999957,511.23,510.03
4.139999999999956,511.23,510.03
4.159999999999956,502.38,502.42
4.179999999999955,502.38,502.42
4.199999999999955,502.38,502.42
4.2199999999999545,502.38,502.42
4.239999999999954,500.1,500.54
4.259999999999954,508.28,508.03
4.279999999999953,508.28,508.03
4.299999999999953,510.85,510.54
4.319999999999952,510.85,510.54
4.339999999999952,507.88,507.83
4.3599999999999515,507.88,507.83
4.379999999999951,507.88,507.83
4.399999999999951,499.9,498.67
4.41999999999995,499.9,498.67
4.43999999999995,509.12,507.33
4.459999999999949,509.12,507.33
4.479999999999949,510.97,507.28
4.4999999999999485,510.97,507.28
4.519999999999948,511.38,509.42
4.539999999999948,511.38,509.42
4.559999999999947,500.9,499.54
4.579999999999947,500.9,499.54
4.599999999999946,500.9,499.54
4.619999999999946,506.32,505.43
4.6399999999999455,511.66,511.34
4.659999999999945,511.66,511.34
4.679999999999945,509.13,508.87
4.699999999999944,511.8,512.68
4.719999999999944,504.24,505.74
4.739999999999943,502.19,502.0
4.759999999999943,502.19,502.0
4.7799999999999425,502.19,502.0
4.799999999999942,502.19,502.0
4.819999999999942,509.35,509.6
4.839999999999941,510.28,511.28
4.859999999999941,510.28,511.28
4.87999999999994,499.83,501.22
4.89999999999994,508.02,511.71
4.9199999999999395,499.61,501.57
4.939999999999939,507.69,508.86
4.959999999999939,507.69,508.86
4.979999999999938,507.69,508.86
4.999999999999938,507.69,508.86
5.019999999999937,511.75,512.49
5.039999999999937,504.8,505.39
5.0599999999999365,504.8,505.39
5.079999999999936,501.64,499.71
5.099999999999936,499.57,499.68
5.119999999999935,499.57,499.68
5.139999999999935,503.45,504.34
5.159999999999934,503.45,504.34
5.179999999999934,503.45,504.34
5.199999999999934,503.45,504.34
5.219999999999933,508.96,510.27
5.239999999999933,508.96,510.27
5.259999999999932,506.57,509.22
5.279999999999932,497.26,500.37
5.299999999999931,499.38,499.14
5.319999999999931,499.38,499.14
5.339999999999931,507.91,507.11
5.35999999999993,507.91,507.11
5.37999999999993,507.91,507.11
5.399999999999929,509.73,509.49
5.419999999999929,509.73,509.49
5.4399999999999284,499.18,498.79
5.459999999999928,499.18,498.79
5.479999999999928,504.14,502.83
5.499999999999927,509.37,506.93
5.519999999999927,509.37,506.93
5.539999999999926,513.1,510.74
5.559999999999926,513.1,510.74
5.5799999999999255,513.1,510.74
5.599999999999925,505.08,503.0
5.619999999999925,505.08,503.0
5.639999999999924,503.06,500.2
5.659999999999924,503.06,500.2
5.679999999999923,503.06,500.2
5.699999999999923,512.03,508.43
5.7199999999999225,512.03,508.43
5.739999999999922,509.22,508.14
5.759999999999922,509.22,508.14
5.779999999999921,509.22,508.14
5.799999999999921,509.22,508.14
5.81999999999992,499.78,498.31
5.83999999999992,499.78,498.31
5.8599999999999195,499.78,498.31
5.879999999999919,508.82,506.25
5.899999999999919,511.18,509.98
5.919999999999918,511.18,509.98
5.939999999999918,500.94,500.58
5.959999999999917,500.94,500.58
5.979999999999917,500.94,500.58
5.9999999999999165,505.35,504.27
6.019999999999916,505.35,504.27
6.039999999999916,512.08,510.61
6.059999999999915,512.08,510.61
6.079999999999915,509.87,509.89
6.099999999999914,513.44,511.13
6.119999999999914,504.15,502.9
6.1399999999999135,504.15,502.9
6.159999999999913,504.15,502.9
6.179999999999913,504.15,502.9
6.199999999999912,501.52,499.12
6.219999999999912,509.61,506.9
6.239999999999911,509.61,506.9
6.259999999999911,509.61,506.9
6.2799999999999105,511.67,507.11
6.29999999999991,509.34,505.09
6.31999999999991,501.27,495.47
6.339999999999909,501.27,495.47
6.359999999999909,501.27,495.47
6.379999999999908,501.27,495.47
6.399999999999908,501.27,495.47
6.419999999999908,513.89,507.98
6.439999999999907,513.89,507.98
6.459999999999907,505.91,501.58
6.479999999999906,511.34,510.56
6.499999999999906,500.07,500.65
6.519999999999905,504.66,504.92
6.539999999999905,504.66,504.92
6.559999999999905,504.66,504.92
6.579999999999904,504.66,504.92
6.599999999999904,504.66,504.92
6.619999999999903,510.93,510.14
6.639999999999903,510.93,510.14
6.659999999999902,508.94,508.71
6.679999999999902,506.39,504.45
6.699999999999902,503.51,500.96
6.719999999999901,503.51,500.96
6.739999999999901,503.51,500.96
6.7599999999999,503.51,500.96
6.7799999999999,511.41,509.37
6.7999999999998995,511.41,509.37
6.819999999999899,511.41,509.37
6.839999999999899,512.73,510.3
6.859999999999898,511.6,507.79
6.879999999999898,500.88,498.43
6.899999999999897,509.51,505.94
6.919999999999897,509.51,505.94
6.9399999999998965,509.51,505.94
6.959999999999896,509.51,505.94
6.979999999999896,509.51,505.94
6.999999999999895,513.41,509.15
7.019999999999895,513.41,509.15
7.039999999999894,504.72,501.72
7.059999999999894,502.18,498.58
7.0799999999998935,505.32,501.84
7.099999999999893,505.32,501.84
7.119999999999893,510.66,508.67
7.139999999999892,510.66,508.67
7.159999999999892,510.66,508.67
7.179999999999891,510.66,508.67
7.199999999999891,508.72,508.14
7.2199999999998905,499.38,497.31
7.23999999999989,499.38,497.31
7.25999999999989,507.9,505.25
7.279999999999889,509.16,508.22
7.299999999999889,509.16,508.22
7.319999999999888,510.53,509.58
7.339999999999888,510.53,509.58
7.3599999999998875,510.53,509.58
7.379999999999887,498.82,499.86
7.399999999999887,498.82,499.86
7.419999999999886,502.86,504.09
7.439999999999886,502.86,504.09
7.459999999999885,498.59,498.98
7.479999999999885,511.7,511.47
7.4999999999998845,504.36,506.38
7.519999999999884,504.36,506.38
7.539999999999884,504.36,506.38
7.559999999999883,504.36,506.38
7.579999999999883,500.29,502.3
7.599999999999882,507.83,509.64
7.619999999999882,507.83,509.64
7.6399999999998816,509.06,511.71
7.659999999999881,507.83,510.22
7.679999999999881,507.83,510.22
7.69999999999988,507.07,509.58
7.71999999999988,507.07,509.58
7.739999999999879,507.07,509.58
7.759999999999879,507.07,509.58
7.779999999999879,497.45,498.66
7.799999999999878,505.96,505.93
7.819999999999878,505.96,505.93
7.839999999999877,510.77,510.54
7.859999999999877,510.96,509.96
7.879999999999876,510.96,509.96
7.899999999999876,499.77,500.77
7.919999999999876,499.77,500.77
7.939999999999875,499.77,500.77
7.959999999999875,499.77,500.77
7.979999999999874,501.82,502.81
7.999999999999874,507.65,508.65
8.019999999999873,507.65,508.65
8.039999999999873,506.32,508.32
8.059999999999873,504.6,505.53
8.079999999999872,504.6,505.53
8.099999999999872,500.68,500.82
8.119999999999871,500.68,500.82
8.139999999999871,500.68,500.82
8.15999999999987,500.68,500.82
8.17999999999987,508.75,508.26
8.19999999999987,510.0,509.61
8.21999999999987,500.4,500.09
8.239999999999869,500.4,500.09
8.259999999999868,499.68,499.54
8.279999999999868,499.68,499.54
8.299999999999867,508.15,507.43
8.319999999999867,508.15,507.43
8.339999999999867,508.15,507.43
8.359999999999866,508.15,507.43
8.379999999999866,513.72,510.95
8.399999999999865,506.77,506.16
8.419999999999865,506.77,506.16
8.439999999999864,506.77,506.16
8.459999999999864,502.03,501.49
8.479999999999864,503.03,501.99
8.499999999999863,509.82,508.59
8.519999999999863,509.82,508.59
8.539999999999862,509.82,508.59
8.559999999999862,509.82,508.59
8.579999999999862,508.86,508.67
8.599999999999861,498.09,498.54
8.61999999999986,505.87,506.43
8.63999999999986,505.87,506.43
8.65999999999986,499.09,500.72
8.67999999999986,507.67,508.97
8.699999999999859,509.34,511.38
8.719999999999859,509.34,511.38
8.739999999999858,509.34,511.38
8.759999999999858,509.34,511.38
8.779999999999857,509.34,511.38
8.799999999999857,499.27,502.3
8.819999999999856,499.27,502.3
8.839999999999856,499.27,502.3
8.859999999999856,504.08,506.54
8.879999999999855,509.86,511.63
8.899999999999855,509.86,511.63
8.919999999999854,509.86,511.63
8.939999999999854,509.86,511.63
8.959999999999853,509.86,511.63
8.979999999999853,503.89,505.71
8.999999999999853,498.51,500.77
9.019999999999852,498.51,500.77
9.039999999999852,502.32,500.87
9.059999999999851,509.25,508.9
9.07999999999985,509.25,508.9
9.09999999999985,509.25,508.9
9.11999999999985,509.25,508.9
9.13999999999985,508.6,509.12
9.15999999999985,508.6,509.12
9.179999999999849,498.88,498.89
9.199999999999848,498.88,498.89
9.219999999999848,506.76,507.14
9.239999999999847,509.48,508.93
9.259999999999847,511.19,510.34
9.279999999999847,511.19,510.34
9.299999999999846,511.19,510.34
9.319999999999846,511.19,510.34
9.339999999999845,501.35,502.07
9.359999999999845,501.35,502.07
9.379999999999844,501.68,502.66
9.399999999999844,501.68,502.66
9.419999999999844,506.27,506.15
9.439999999999843,512.02,509.32
9.459999999999843,506.41,503.86
9.479999999999842,506.41,503.86
9.499999999999842,506.41,503.86
9.519999999999841,506.41,503.86
9.539999999999841,506.41,503.86
9.55999999999984,501.13,497.89
9.57999999999984,511.48,508.61
9.59999999999984,511.48,508.61
9.61999999999984,504.07,500.55
9.639999999999839,510.84,508.67
9.659999999999838,499.88,498.34
9.679999999999838,499.88,498.34
9.699999999999838,499.88,498.34
9.719999999999837,499.88,498.34
9.739999999999837,499.88,498.34
9.759999999999836,507.9,505.67
9.779999999999836,512.92,511.14
9.799999999999836,512.92,511.14
9.819999999999835,506.34,505.11
9.839999999999835,501.75,500.44
9.859999999999834,501.75,500.44
9.879999999999834,502.2,501.35
9.899999999999833,502.2,501.35
9.919999999999833,502.2,501.35
9.939999999999833,510.56,508.68
