time_s,r_ShakeEOG_H,EOG_V
0.0,506.31,522.05
0.020000000000000018,506.31,522.05
0.040000000000000036,506.31,522.05
0.06000000000000005,506.31,522.05
0.08000000000000007,501.85,519.24
0.10000000000000009,501.85,519.24
0.1200000000000001,503.3,517.56
0.14000000000000012,497.7,515.31
0.16000000000000014,497.7,515.31
0.18000000000000016,502.56,516.05
0.20000000000000018,502.56,516.05
0.2200000000000002,502.56,516.05
0.2400000000000002,502.56,516.05
0.26000000000000023,504.65,517.04
0.28000000000000025,493.32,515.03
0.30000000000000027,500.0,514.89
0.3200000000000003,500.0,514.89
0.3400000000000003,493.0,513.71
0.3600000000000003,493.0,513.71
0.38000000000000034,493.0,513.71
0.40000000000000036,493.0,513.71
0.4200000000000004,500.4,515.57
0.4400000000000004,500.4,515.57
0.4600000000000004,502.52,515.85
0.4800000000000004,501.64,517.47
0.5000000000000004,492.91,515.17
0.5200000000000005,492.91,515.17
0.5400000000000005,492.91,515.17
0.5600000000000005,492.91,515.17
0.5800000000000005,497.73,518.74
0.6000000000000005,501.78,519.19
0.6200000000000006,500.43,519.35
0.6400000000000006,499.31,516.11
0.6600000000000006,502.25,517.48
0.6800000000000006,502.25,517.48
0.7000000000000006,502.25,517.48
0.7200000000000006,502.25,517.48
0.7400000000000007,496.0,514.99
0.7600000000000007,494.4,514.79
0.7800000000000007,494.4,514.79
0.8000000000000007,500.87,518.08
0.8200000000000007,500.87,518.08
0.8400000000000007,505.09,520.87
0.8600000000000008,505.09,520.87
0.8800000000000008,505.09,520.87
0.9000000000000008,505.09,520.87
0.9200000000000008,505.09,520.87
0.9400000000000008,498.47,526.09
0.9600000000000009,540.64,552.31
0.9800000000000009,567.31,548.45
1.0000000000000009,567.31,548.45
1.020000000000001,567.31,548.45
1.040000000000001,567.31,548.45
1.060000000000001,598.25,540.56
1.080000000000001,598.25,540.56
1.100000000000001,625.4,520.25
1.120000000000001,628.52,495.6
1.140000000000001,619.86,463.86
1.160000000000001,592.89,458.89
1.180000000000001,592.89,458.89
1.200000000000001,592.89,458.89
1.220000000000001,592.89,458.89
1.240000000000001,592.89,458.89
1.2600000000000011,581.31,474.51
1.2800000000000011,561.85,479.01
1.3000000000000012,519.35,492.89
1.3200000000000012,517.68,493.31
1.3400000000000012,517.68,493.31
1.3600000000000012,517.68,493.31
1.3800000000000012,517.68,493.31
1.4000000000000012,487.75,483.65
1.4200000000000013,487.75,483.65
1.4400000000000013,468.0,490.12
1.4600000000000013,440.66,486.72
1.4800000000000013,440.66,486.72
1.5000000000000013,449.53,484.98
1.5200000000000014,449.53,484.98
1.5400000000000014,449.53,484.98
1.5600000000000014,449.53,484.98
1.5800000000000014,449.53,484.98
1.6000000000000014,451.82,491.58
